id,system_id,item_name,description,order_index,created_at
26 ,PRS ,전일 배치 오류여부 확인 ,"/* 전일 야간 배치작업 수행결과 확인 */
SELECT *
FROM	PRS.DBO.ERRO_LOG_PROC
ORDER BY INST_DATE DESC",26 ,2026-01-14 0:16
27 ,PRS ,정상 로그인여부 확인 ,,27 ,2026-01-14 0:16
28 ,PRS ,메인페이지 그래프 조회여부 확인 ,정상 데이터 조회 여부 확인 ,28 ,2026-01-14 0:16
29 ,SSO ,"통합인증로그인 확인 (SSO 로그인 수행, 관리자 페이지 로그인 실시) ",관리자 페이지 로그인은 정상 인경우에도 SSO 사용자 로그인 오류가 발생할 수 있기에 사용자 로그인 테스트 필수 ,29 ,2026-01-14 0:16
30 ,IAM ,"인사동기화(조직연동) 오류 확인 
조직관리->인사동기화 : 동기화 이력 정보 확인 ",,30 ,2026-01-14 0:16
31 ,IAM ,"프로비저닝 이력 관리 
조직관리->프로비전->조정->프로비전 조정 : 실패 이력 확인 ",실패이력 발생 시 프로비전 재실행 진행 ,31 ,2026-01-14 0:16
32 ,전국스카이시스템 ,CPU 사용률 95% 이상 사용여부 확인 ,,32 ,2026-01-14 0:16
33 ,전국스카이시스템 ,메모리 사용률 95% 이상 사용여부 확인 ,DB서버는 업무처리 방식의 특이점으로 점검 대상에서 제외 ,33 ,2026-01-14 0:16
34 ,전국스카이시스템 ,네트워크 트래픽 사용률 90% 이상 사용여부 확인 ,,34 ,2026-01-14 0:16
35 ,EDI ,정상 로그인여부 확인 ,,35 ,2026-01-14 0:16
36 ,EDI ,고객 인터페이스 오류여부 확인 ,이동정보 데이터 정상 수신여부 확인,36 ,2026-01-14 0:16
37 ,CIS ,정상 로그인정보 확인 ,,37 ,2026-01-14 0:16
38 ,CIS ,렌탈자산현황 _조회 ,정상 데이터 조회 여부 확인 ,38 ,2026-01-14 0:16
39 ,MRO ,로그인 여부 및 페이지 조회 확인 ,,39 ,2026-01-14 0:16
40 ,SRM ,로그인 여부 및 페이지 조회 확인 ,,40 ,2026-01-14 0:16
41 , e-Accounting ,로그인 여부 및 페이지 조회 확인 ,,41 ,2026-01-14 0:16
42 ,EMS ,로그인 여부 및 페이지 조회 확인 ,,42 ,2026-01-14 0:16
43 ,IAS-ERP ,로그인 여부 및 페이지 조회 확인 ,,43 ,2026-01-14 0:16
44 ,배차관리 모바일 ,로그인 여부 및 페이지 조회 확인 ,,44 ,2026-01-14 0:16
45 ,산업장비 AI 챗봇,페이지 조회 확인,,45 ,2026-01-14 0:16
46 ,산업장비 AI 챗봇,LLM 응답 여부 확인,질문 전송 후 화면 정상 렌더링 여부 확인,46 ,2026-01-14 0:16
47 ,산업장비 AI 챗봇,파일 정상 접근 및 조회 확인,"질문 전송 후 참고 문서 정상 렌더링 여부 확인, 일반 파일 열람 가능 여부 확인",47 ,2026-01-14 0:16
48 ,"(모바일)mPRS,mEDI",로그인 여부 및 페이지 조회 확인 ,,48 ,2026-01-14 0:16
49 ,"(모바일)mPRS,mEDI",데이터 정상조회 확인,,49 ,2026-01-14 0:16
50 ,(모바일)FMS,로그인 여부 및 페이지 조회 확인 ,,50 ,2026-01-14 0:16
51 ,(모바일)산업장비A/S,로그인 여부 및 페이지 조회 확인 ,,51 ,2026-01-14 0:16
